Bairro,Endereco,Preco,Bedroom2,Bathroom
Bentleigh East,3/2 Garden Rd,715000,2,1
Fitzroy,101/416 Gore St,715000,2,1
Hawthorn,10/150 Barkers Rd,715000,2,1
Heidelberg West,187 Southern Rd,715000,2,1
Preston,27 Olver St,715000,2,1
Preston,25 Watson St,715000,2,1
Sunshine North,93 Westmoreland Rd,715000,2,1
Richmond,9/343 Church St,715000,2,1
Elwood,3/521 St Kilda St,715000,2,1
St Kilda,81/3 Alfred Sq,715000,2,1
Maidstone,19 Montgomery St,715000,2,1
Richmond,302/366 Church St,712000,2,1
Clifton Hill,1/8 Louise St,712000,2,1
Brunswick West,201 Hope St,711000,2,1
Maidstone,19 Norfolk St,711000,2,1
St Kilda,11/5 Herbert St,711000,2,1
Broadmeadows,20 Ortolan Av,711000,2,1
Briar Hill,1A Campbell Rd,710500,2,1
Armadale,10/51 Armadale St,710000,2,1
Bentleigh East,1/811 Centre Rd,710000,2,1
Fitzroy,9/56 Leicester St,710000,2,1
Prahran,203/11 Hillingdon Pl,710000,2,1
Sunshine,18 Tyler St,710000,2,1
Sunshine,1 Markstone Ct,710000,2,1
Yarraville,13 Pearce St,710000,2,1
Glen Huntly,22/89 Neerim Rd,710000,2,1
Bentleigh,42 Hutchinson St,710000,2,1
Glen Iris,4/46 Summerhill Rd,710000,2,1
Newport,2A Gordon St,710000,2,1
Deepdene,4/193 Whitehorse Rd,710000,2,1
Elwood,4/505 St Kilda St,710000,2,1
Nunawading,3/39 Lemon Gr,710000,2,1
Preston,128c Raglan St,710000,2,1
Glen Iris,6 Bardolph St,708000,2,1
Kew,3/99 Earl St,707500,2,1
Malvern East,3/2 Kardella St,707500,2,1
Essendon,4/31 Cooper St,707000,2,1
Murrumbeena,2/13 Walker St,707000,2,1
Coburg,37 Bishop St,706500,2,1
Camberwell,4/26 Cornell St,706000,2,1
Yarraville,25 Gray St,706000,2,1
Hawthorn East,4/43 Clifton Rd,706000,2,1
Blackburn North,1/108 Surrey Rd,706000,2,1
Pascoe Vale,1/18 Sylvan Gr,706000,2,1
Kingsbury,33 Clunes St,705500,2,1
Brunswick,35 Percy St,705000,2,1
Chadstone,1/32 Kelly St,705000,2,1
Heidelberg West,296 Oriel Rd,705000,2,1
Ivanhoe,4/13 Ivanhoe Pde,705000,2,1
Carlton,8/220 Elgin St,705000,2,1
Heidelberg,4/51 Yarra St,705000,2,1
West Footscray,2a Hope St,705000,2,1
West Melbourne,4/593 Spencer St,705000,2,1
Greensborough,1/5 Adeline St,705000,2,1
Sunshine,36 Chapman St,705000,2,1
Yarraville,147A Severn St,705000,2,1
Essendon,3/10 Kendall St,702500,2,1
Richmond,17/9 Tennyson St,702000,2,1
Toorak,7/3 Tahara Rd,701500,2,1
Hawthorn East,3/842 Toorak Rd,701000,2,1
Armadale,4/42 Adelaide St,700500,2,1
Ashwood,1/7 Farmer St,700000,2,1
Ashwood,2/6 Murra Ct,700000,2,1
Camberwell,1/28 Nevis St,700000,2,1
Elsternwick,1/20 College St,700000,2,1
Kensington,25 Rogan La,700000,2,1
Prahran,8/67 High St,700000,2,1
St Kilda,2/79 Barkly St,700000,2,1
Burwood,2/107 Station St,700000,2,1
Burwood,2/277 Warrigal Rd,700000,2,1
Fawkner,6 William St,700000,2,1
Prahran,102/11 Hillingdon Pl,698000,2,1
Brunswick West,9/9 Waxman Pde,698000,2,1
North Warrandyte,11 Valias St,698000,2,1
Coburg,13 Industry La,698000,2,1
Hawthorn,1/125 Riversdale Rd,697000,2,1
Elwood,6/229 Brighton Rd,696750,2,1
Hawthorn,18/508 Glenferrie Rd,695000,2,1
Richmond,12/200 Brighton St,695000,2,1
Glen Huntly,2/143 Grange Rd,695000,2,1
Northcote,2/19 Glanfield St,695000,2,1
Elwood,9/457 St Kilda St,695000,2,1
Ormond,13/37 Murray Rd,695000,2,1
Mitcham,5a Compton St,695000,2,1
Camberwell,2/564 Riversdale Rd,693000,2,1
South Yarra,9/18 Kensington Rd,693000,2,1
Camberwell,3/25 Thomas St,692500,2,1
Coburg North,3 Whitton Pde,692500,2,1
Brighton East,3/127 Dendy St,692000,2,1
Fitzroy,502/69 Victoria St,692000,2,1
Northcote,2/195 Clarke St,692000,2,1
Murrumbeena,3/59 Poath Rd,692000,2,1
Brunswick,11/757 Park St,692000,2,1
Hampton,5/46 Fewster Rd,691000,2,1
Heidelberg West,23 Redwood St,691000,2,1
Ascot Vale,1/60 The Parade,690000,2,1
Ashwood,1/7 Murra Ct,690000,2,1
Glen Iris,2/13 Estella St,690000,2,1
Hawthorn,5/70 Power St,690000,2,1
Ivanhoe,5/19 Livingstone St,690000,2,1
Toorak,9/28 Power St,690000,2,1
Murrumbeena,5/13 Toward St,690000,2,1
Armadale,8/16 Wattletree Rd,690000,2,1
Brunswick East,41 Gear St,690000,2,1
Windsor,2/6 The Avenue,690000,2,1
Parkdale,3/192 Como Pde W,690000,2,1
Kilsyth,61 Timms Av,690000,2,1
Bentleigh East,3/32 Elizabeth St,689000,2,1
Sunshine,82 Hertford Rd,688000,2,1
Elwood,1/127 Glen Huntly Rd,687500,2,1
South Yarra,11/56 Darling St,687000,2,1
Heidelberg West,367 Liberty Pde,687000,2,1
Elwood,5/15 Dickens St,686000,2,1
Heidelberg West,8 Blackwood Pde,686000,2,1
Watsonia,2/10 Powley Pde,686000,2,1
Chadstone,1/139 Waverley Rd,686000,2,1
Ascot Vale,1/17 Epsom Rd,685000,2,1
Canterbury,3/124 Canterbury Rd,685000,2,1
Murrumbeena,3/14 Wilson St,685000,2,1
Prahran,18/61 High St,685000,2,1
Lalor,78 French St,685000,2,1
Chelsea,1/67 Ella Gr,685000,2,1
Glenroy,49 Plumpton Av,685000,2,1
Oakleigh South,1/5 Golf Rd,683500,2,1
Camberwell,3/28 Stodart St,683000,2,1
Collingwood,10/76 Oxford St,683000,2,1
Brunswick East,3/51 Brunswick Rd,683000,2,1
Heidelberg Heights,23 Flinders St,682000,2,1
Surrey Hills,3/700 Canterbury Rd,682000,2,1
Toorak,2/641 Toorak Rd,682000,2,1
Balwyn North,3/4 Lemon Rd,682000,2,1
Kew,6/62 Walpole St,682000,2,1
Camberwell,1/43 Inglesby Rd,682000,2,1
Yarraville,342 Francis St,681000,2,1
South Yarra,4/30 Murphy St,680500,2,1
Highett,2/4 Turner Rd,680500,2,1
Glen Iris,8/18 Edgar St,680000,2,1
Heidelberg Heights,33 Shakespeare Gr,680000,2,1
Reservoir,124 Rathcown Rd,680000,2,1
Richmond,6/366 Church St,680000,2,1
South Yarra,6/176 Walsh St,680000,2,1
Murrumbeena,4/16 Rosella St,680000,2,1
St Kilda,15/20 Princes St,680000,2,1
Heidelberg Heights,49C Dresden St,680000,2,1
Carnegie,2/8 Beena Av,680000,2,1
Reservoir,55 Keon Pde,680000,2,1
Seddon,201 Buckley St,680000,2,1
Armadale,3/16 Fulton St,678000,2,1
Templestowe Lower,2/47 Parker St,678000,2,1
Werribee,12 Bridge St,678000,2,1
Glen Iris,8/34 Edgar St,678000,2,1
Kingsville,104 Williamstown Rd,677500,2,1
Highett,4/27 Wilson St,677500,2,1
Fitzroy,11 Henry St,677000,2,1
Camberwell,6/9 Eddy St,677000,2,1
Fairfield,11/272 Heidelberg Rd,676000,2,1
Oakleigh,4 Mead Ct,676000,2,1
Nunawading,3/29 Mount Pleasant Rd,676000,2,1
Airport West,174 Parer Rd,675000,2,1
Carnegie,2/61 Moonya Rd,675000,2,1
Moonee Ponds,1/10 Scotia St,675000,2,1
Rosanna,1/64 Lower Plenty Rd,675000,2,1
Maribyrnong,1/59 Middle Rd,675000,2,1
Mordialloc,4/1 Ashmore Av,675000,2,1
Chadstone,3/3 Inga Ct,674000,2,1
Prahran,2/4 Rae Ct,673000,2,1
Collingwood,5/61 Little Oxford St,672000,2,1
Kew,3/75 Alfred St,672000,2,1
Kew,3/37 Atkins St,672000,2,1
Kew,3/29 Mary St,672000,2,1
Reservoir,1/33 Oconnor St,672000,2,1
Parkdale,8/410 Nepean Hwy,672000,2,1
Altona,2/134 Civic Pde,672000,2,1
Moorabbin,3/1 William St,672000,2,1
Glen Iris,4/58 Bath Rd,671000,2,1
Braybrook,1 Menzies St,670000,2,1
Collingwood,182 Keele St,670000,2,1
Port Melbourne,1/3 Liardet St,670000,2,1
Albion,27 Burnewang St,670000,2,1
Mount Waverley,1/2 Gwynne St,670000,2,1
West Melbourne,125/33 Jeffcott St,670000,2,1
Hawthorn,1/23 Glen St,670000,2,1
Greensborough,2/18 Vermont Pde,670000,2,1
Camberwell,1/3 Crescent Rd,667000,2,1
Essendon,1/139 Roberts St,667000,2,1
Fairfield,1/22 Rathmines St,667000,2,1
Kensington,11/33 Rankins Rd,666000,2,1
Mont Albert,2/3 Inglisby Rd,666000,2,1
South Yarra,906/700 Chapel St,666000,2,1
Richmond,16/297 Church St,666000,2,1
South Yarra,6/59 Albion St,666000,2,1
Hawthorn East,3/348 Riversdale Rd,665500,2,1
Hawthorn,1/4 Hill St,665000,2,1
Melbourne,805/300 Swanston St,665000,2,1
Brunswick East,3/37 Brunswick Rd,665000,2,1
Hampton,2/34 Linacre Rd,665000,2,1
Heidelberg Heights,14 Shelley St,665000,2,1
Caulfield North,1/41 Narong Rd,665000,2,1
Croydon,11 Alwyn St,664000,2,1
Hawthorn,8/14 Creswick St,663000,2,1
Cremorne,607/140 Swan St,662500,2,1
Watsonia,1 Papua St,662000,2,1
Footscray,49 MacPherson St,661000,2,1
Braybrook,1 Arthur St,660000,2,1
Essendon,1/28 Gilbertson St,660000,2,1
Malvern,24/1231 Malvern Rd,660000,2,1
Preston,3/9 Cormac St,660000,2,1
South Yarra,1/271 Williams Rd,660000,2,1
Southbank,2/66 Coventry St,660000,2,1
Ripponlea,4/16 Hotham Gr,660000,2,1
Mentone,1/29 Milan St,660000,2,1
Murrumbeena,3/17 Gerald St,660000,2,1
Elwood,2/25 Kingsley St,660000,2,1
Prahran,9/3 Rae Ct,660000,2,1
Hawthorn,7/14 Oak St,660000,2,1
Newport,91 Gordon St,660000,2,1
Pascoe Vale,2/2 Archibald St,660000,2,1
Brunswick,1/263 Albion St,659500,2,1
Hawthorn,2/21 Elphin Gr,657500,2,1
Brunswick West,5/21 Cumming St,656000,2,1
Carnegie,1/12 Kokaribb Rd,656000,2,1
Preston,3/27 Jessie St,656000,2,1
Brunswick East,4/37 Brunswick Rd,656000,2,1
Glen Waverley,2/51 Avonhurst Dr,656000,2,1
Bentleigh East,2/119 Marlborough St,655000,2,1
Hawthorn,9/63 Berkeley St,655000,2,1
Moorabbin,2/17 Barilla Rd,655000,2,1
Port Melbourne,309/166 Rouse St,655000,2,1
Oakleigh,3/21 John St,655000,2,1
Caulfield North,14/129 Kambrook Rd,655000,2,1
Toorak,9/723 Orrong Rd,655000,2,1
Mitcham,27 Forster St,655000,2,1
Ringwood,1/14 Paxton St,655000,2,1
Watsonia,1/34 Longmuir Rd,655000,2,1
Emerald,35 Kings Rd,655000,2,1
Ripponlea,7/98 Brighton Rd,655000,2,1
Albion,2 Barclay St,655000,2,1
Box Hill,2/8 Simpsons Rd,653000,2,1
Glen Iris,24/3 Bickleigh St,652500,2,1
Reservoir,4/23 Compton St,652000,2,1
Bayswater,2 Yarran Gr,652000,2,1
Bentleigh East,1/6 Richard St,651000,2,1
Reservoir,8 Ameily Cr,651000,2,1
Balwyn,4/35 Weir St,650000,2,1
Carnegie,5/60 Woornack Rd,650000,2,1
Essendon,3/82 Glass St,650000,2,1
Fitzroy,24/26 Victoria St,650000,2,1
Heidelberg Heights,19 Collins St,650000,2,1
Kensington,1 Scarborough Pl,650000,2,1
Coburg,4/34 Gladstone St,650000,2,1
Heidelberg West,316 Liberty Pde,650000,2,1
Toorak,1/48 Mathoura Rd,650000,2,1
Airport West,163 Halsey Rd,650000,2,1
Glenroy,7 Mitchell Ct,650000,2,1
Heidelberg Heights,2/3 Mary Av,650000,2,1
Maidstone,33 Richelieu St,650000,2,1
Brunswick,1/46 Davies St,650000,2,1
Maidstone,2/12 Janson St,650000,2,1
Thornbury,1/37 Clapham St,650000,2,1
Coburg North,3/24 Lorensen Av,650000,2,1
Hughesdale,2/3 Bowen St,648000,2,1
St Kilda,10/66 Alma Rd,648000,2,1
Fitzroy,14/150 Kerr St,648000,2,1
South Yarra,13/176 Walsh St,648000,2,1
Albert Park,10/140 Kerferd Rd,647000,2,1
Footscray,230 Ballarat Rd,647000,2,1
Box Hill,4/18 Barkly St,646500,2,1
Dingley Village,13 Oploo Ct,646500,2,1
Richmond,10/200 Brighton St,646000,2,1
Strathmore,2/30 Bulla Rd,646000,2,1
Box Hill,6/29 Barkly St,645000,2,1
Braybrook,25 Lily St,645000,2,1
Elwood,7/9 Tiuna Gr,645000,2,1
Essendon,1/9 Ardoch St,645000,2,1
Essendon,1/14 Forrester St,645000,2,1
Hawthorn,1/27 Glen St,645000,2,1
North Melbourne,319/350 Victoria St,645000,2,1
Prahran,303/10 Hillingdon Pl,645000,2,1
Highett,2/25 Wilson St,645000,2,1
Elwood,5/57 Southey St,645000,2,1
Reservoir,18 Frankston St,644000,2,1
Sandringham,6/76 Bay Rd,643500,2,1
Fawkner,41 Murray St,643000,2,1
Kew,8/48 Derby St,643000,2,1
Southbank,61/120 Sturt St,642500,2,1
Coburg,9 Sargood St,642000,2,1
South Yarra,3/555 Punt Rd,642000,2,1
Elwood,6/5 Alfriston St,642000,2,1
St Albans,38 Albert Cr,642000,2,1
Clifton Hill,15/14 The Esplanade,641000,2,1
Mentone,1/33 Riviera St,641000,2,1
Pascoe Vale,1/101 Essex St,641000,2,1
Altona North,1/256 Mason St,640000,2,1
Elwood,1/6 May St,640000,2,1
Elwood,2/4 Southey Ct,640000,2,1
St Kilda,8/15 Herbert St,640000,2,1
St Kilda,1/260 St Kilda Rd,640000,2,1
Glen Huntly,1/205 Grange Rd,640000,2,1
Brunswick West,2/11 Howson St,640000,2,1
Mentone,11/19 Brindisi St,640000,2,1
Brunswick,4/135 Brunswick Rd,640000,2,1
St Kilda,3/174 Barkly St,640000,2,1
Moorabbin,1/17 Baker St,639000,2,1
Chelsea,1/15 Cross Rd,639000,2,1
Coburg,2/22 Loch St,638000,2,1
Briar Hill,1/3 Campbell Rd,637000,2,1
Glenroy,43 Bindi St,637000,2,1
Ascot Vale,2/78 Ormond Rd,636500,2,1
Glen Huntly,16/89 Neerim Rd,636500,2,1
Caulfield South,3/180 Sycamore St,636500,2,1
Pascoe Vale,1B Braeside St,636500,2,1
Avondale Heights,12 Skewes St,636000,2,1
Bentleigh,5/205 Centre Rd,636000,2,1
Box Hill,3/8 Ashted Rd,636000,2,1
Balwyn,101/201 Whitehorse Rd,635000,2,1
Bentleigh,11/27 Patterson Rd,635000,2,1
Coburg,13 Carron St,635000,2,1
Malvern,2/64 Cawkwell St,635000,2,1
Preston,30 Flett St,635000,2,1
South Yarra,12/2 Gordon Gr,635000,2,1
Carnegie,2/60 Woornack Rd,635000,2,1
Hawthorn,15/9 Lisson Gr,635000,2,1
Elwood,1/3 Greig Ct,635000,2,1
Preston,50 Garnet St,635000,2,1
Burwood,2a Iris St,633000,2,1
Ringwood,1/13 Maidstone St,633000,2,1
Carnegie,5/33 Gnarwyn Rd,632500,2,1
Elsternwick,3/33 St Georges Rd,632500,2,1
Brunswick East,3/6 Methven St,632000,2,1
Armadale,6/56 Sutherland Rd,631500,2,1
Brighton,5/344 New St,630500,2,1
Altona,1/170 Blyth St,630000,2,1
Elwood,1/125 Glen Huntly Rd,630000,2,1
Essendon,1/1 Thomson St,630000,2,1
Hawthorn,9/4 Lisson Gr,630000,2,1
Ivanhoe,3/67 Livingstone St,630000,2,1
Pascoe Vale,1 Dorset Rd,630000,2,1
Preston,21 George St,630000,2,1
South Yarra,7/44 Darling St,630000,2,1
Glen Huntly,6/135 Grange Rd,630000,2,1
Caulfield South,9/434 Kooyong Rd,630000,2,1
Heidelberg,3/56 Banksia St,630000,2,1
Prahran,4/605 High St,630000,2,1
Kew,3/234 Cotham Rd,630000,2,1
Elwood,7/59 Ormond Rd,630000,2,1
Fitzroy,101/150 Kerr St,630000,2,1
Glenroy,181 Daley St,628000,2,1
South Yarra,25/388 Toorak Rd,627500,2,1
Elsternwick,12/66 Riddell Pde,626000,2,1
Prahran,20/20 St Edmonds Rd,626000,2,1
Parkdale,6/25 White St,625500,2,1
Reservoir,92 Pine St,625500,2,1
Carnegie,4/62 Moonya Rd,625000,2,1
Oakleigh South,2/3 Golf Rd,625000,2,1
South Yarra,9/46 Darling St,625000,2,1
Port Melbourne,202/2 Rouse St,625000,2,1
Southbank,17/30 Miles St,625000,2,1
Glen Waverley,1/7 Carramar Av,625000,2,1
Reservoir,129 Spring St,623500,2,1
Hughesdale,4/89 Kangaroo Rd,623000,2,1
Southbank,2/95 Dodds St,623000,2,1
Windsor,11/5 The Avenue,623000,2,1
West Footscray,1B Dianella Ct,623000,2,1
Hawthorn East,2/11 Harts Pde,622000,2,1
South Yarra,11/274 Domain Rd,621500,2,1
Diamond Creek,17 Norma St,621000,2,1
Ringwood,19 Wildwood Gr,621000,2,1
Glenroy,1/38 Stanley St,620250,2,1
Brunswick,2/1 Sturrock St,620000,2,1
Kew East,4/34 Strathalbyn St,620000,2,1
North Melbourne,509/30 Wreckyn St,620000,2,1
Surrey Hills,1/52 Union Rd,620000,2,1
Toorak,7/765 Malvern Rd,620000,2,1
West Melbourne,5/467 King St,620000,2,1
Mount Waverley,4/1 Winbourne Rd,620000,2,1
Brighton East,4/3 Gleniffer Av,620000,2,1
Brunswick East,1/51 Brunswick Rd,620000,2,1
Montmorency,2/38 Station Rd,620000,2,1
Moonee Ponds,6/36 Gladstone St,620000,2,1
Footscray,50 Everard St,620000,2,1
Fawkner,13 McDougall St,619000,2,1
Rosanna,4/32 Lower Plenty Rd,618000,2,1
Niddrie,2/49 Hamilton St,617500,2,1
Ormond,2/35 Leila Rd,617500,2,1
Preston,3/5 Sussex St,617500,2,1
Brighton,7/344 New St,617000,2,1
Camberwell,9/43 Inglesby Rd,615000,2,1
Footscray,6/63 Everard St,615000,2,1
Reservoir,1/80 Delaware St,615000,2,1
Rosanna,7/4 Banyule Rd,615000,2,1
South Yarra,30/30 Murphy St,615000,2,1
St Kilda,9/60 Carlisle St,615000,2,1
Blackburn South,12/5 Travellyn Ct,615000,2,1
Canterbury,3/67 Wattle Valley Rd,615000,2,1
Balwyn,4/8 Bevan St,614000,2,1
South Yarra,10/7 Barnsbury Rd,613000,2,1
South Yarra,8/27 Kensington Rd,613000,2,1
Heidelberg West,6 Normanby Ct,613000,2,1
Hawthorn,5/29 Elphin Gr,612500,2,1
Edithvale,24 Tudor Ct,612500,2,1
Elwood,6/10 Vautier St,612000,2,1
South Melbourne,54b Napier St,612000,2,1
Dingley Village,2/77 Centre Dandenong Rd,612000,2,1
Reservoir,11a Oconnor St,611000,2,1
Sunshine,29 Benjamin St,611000,2,1
Windsor,1/60 McIlwrick St,611000,2,1
Mount Waverley,4/254 Waverley Rd,611000,2,1
Carlton,111/101 Grattan St,610250,2,1
Altona North,35 May St,610000,2,1
Brighton,10/32 Loller St,610000,2,1
Fairfield,2/152 Gillies St,610000,2,1
Hadfield,2 Knole St,610000,2,1
Kew,4/4 St Johns Pde,610000,2,1
Pascoe Vale,1/10 Callander Rd,610000,2,1
Preston,1/28 Carlisle St,610000,2,1
St Kilda,51/3 Alfred Sq,610000,2,1
Braybrook,96 Duke St,610000,2,1
Oak Park,13 Kiama St,610000,2,1
Greensborough,1/39 Alexandra St,610000,2,1
Briar Hill,3/25 Williams Rd,610000,2,1
Sunshine,36 High St,610000,2,1
Hadfield,7 Halsbury St,610000,2,1
Ringwood East,2/5 Mines Rd,609000,2,1
Hawthorn,25/178 Power St,609000,2,1
Essendon,4/6 Riverview Rd,606000,2,1
North Melbourne,12/700 Queensberry St,606000,2,1
Balwyn,4/30 Weir St,605000,2,1
Carnegie,1/58 Coorigil Rd,605000,2,1
Coburg,1/51 The Grove,605000,2,1
Hawthorn,11/179 Power St,605000,2,1
Heidelberg Heights,2/35 Porter Rd,605000,2,1
Kew East,2/37 Strathalbyn St,605000,2,1
Moorabbin,2/1 Barbara St,605000,2,1
Northcote,3/162 Westgarth St,605000,2,1
Thornbury,2/121 Darebin Rd,605000,2,1
Ripponlea,2/120 Brighton Rd,605000,2,1
Burwood,3/12 Somers St,605000,2,1
Glenroy,56 Maude Av,605000,2,1
Watsonia,2/63 Devonshire Rd,604000,2,1
Highett,2/42 Graham Rd,604000,2,1
Airport West,23 Hart St,603000,2,1
Carnegie,2/13 Emily St,603000,2,1
Flemington,11/300 Racecourse Rd,603000,2,1
Fairfield,20/262 Heidelberg Rd,602000,2,1
Fitzroy North,12/262 Barkly St,602000,2,1
St Kilda,5/18 Marine Pde,602000,2,1
Murrumbeena,1/1 Nangana Rd,602000,2,1
Ringwood North,2/65 Evelyn Rd,602000,2,1
Balwyn,1/18 Weir St,602000,2,1
Heidelberg Heights,103 Porter Rd,602000,2,1
Pascoe Vale,1/23 Stewart St,601500,2,1
Brunswick,8/705 Park St,601000,2,1
Carnegie,2/47 Coorigil Rd,601000,2,1
Northcote,9/162 Clarke St,601000,2,1
South Yarra,22/382 Toorak Rd,601000,2,1
Thornbury,5/67 Flinders St,601000,2,1
West Melbourne,19/33 Jeffcott St,601000,2,1
Cheltenham,1/21 Kayden St,601000,2,1
Camberwell,2/37 Thomas St,600800,2,1
Airport West,1/37 Hillside Gr,600000,2,1
Ashwood,4/36 Queens Pde,600000,2,1
Brunswick,6/153 Barkly St,600000,2,1
Brunswick,6/837 Park St,600000,2,1
Coburg North,5/1 Headley St,600000,2,1
Elwood,5/9 Dickens St,600000,2,1
Glen Iris,8/251 Burke Rd,600000,2,1
Hawthorn,8/36 Power St,600000,2,1
Maidstone,2/48 Inkerman St,600000,2,1
Maidstone,21 Montgomery St,600000,2,1
Moonee Ponds,4/6 Turner St,600000,2,1
Northcote,5/216 Westgarth St,600000,2,1
Preston,16 Opal St,600000,2,1
South Melbourne,119 Park St,600000,2,1
South Yarra,15/2 Gordon Gr,600000,2,1
Windsor,6/213 Dandenong Rd,600000,2,1
Windsor,10/27 Lewisham Rd,600000,2,1
Heidelberg,7/106 Brown St,600000,2,1
Oak Park,15 Kiama St,600000,2,1
Thornbury,3/31 Clapham St,600000,2,1
Essendon,3/222 Pascoe Vale Rd,600000,2,1
Kew,1/18 Howard St,600000,2,1
Southbank,2/96 Dodds St,600000,2,1
Newport,2/22 Thorpe St,600000,2,1
Black Rock,5/323 Beach Rd,600000,2,1
Mordialloc,4/6 Crown Av,600000,2,1
Keilor East,1/20 Neville St,600000,2,1
Prahran,314/220 Commercial Rd,600000,2,1
Elwood,6/14 Shelley St,599999,2,1
Bulleen,2/1 Colite St,599900,2,1
Watsonia,36 Elder St,599500,2,1
Armadale,8/19 Mercer Rd,599000,2,1
Kew,2/380 High St,599000,2,1
Armadale,1/14 Denbigh Rd,598000,2,1
Brunswick West,4/38 Melville Rd,598000,2,1
Coburg,5/39 Service St,598000,2,1
North Melbourne,203/150 Peel St,598000,2,1
Diamond Creek,1A Fraser St,598000,2,1
Altona,3/8 Rayner St,597500,2,1
Essendon,3/113 Tennyson St,595000,2,1
South Melbourne,13/182 Albert Rd,595000,2,1
Gardenvale,1/18 Magnolia Rd,595000,2,1
South Yarra,1/215 Williams Rd,595000,2,1
Elsternwick,4/34 Horne St,595000,2,1
Southbank,4/5 Miles St,595000,2,1
Armadale,4/379 Dandenong Rd,595000,2,1
Dingley Village,1/270 Spring Rd,595000,2,1
Hawthorn East,1/50 Leura Gr,595000,2,1
Ferntree Gully,2/6 Simpson Rd,594000,2,1
Armadale,8/58 Sutherland Rd,592500,2,1
Brunswick,2/22 Saxon St,592500,2,1
Northcote,5/162 Westgarth St,592000,2,1
Oak Park,1 Victoria St,592000,2,1
Malvern,6/36 Johnstone St,592000,2,1
Bentleigh East,2/9 Argyle St,592000,2,1
Springvale,1/22 Turner Cl,592000,2,1
North Melbourne,5/97 Oshanassy St,591500,2,1
Coburg North,2b Rollo St,591000,2,1
Elsternwick,4/585 Glen Huntly Rd,591000,2,1
Niddrie,1/49 Hamilton St,591000,2,1
Sunshine,25 Benjamin St,591000,2,1
Kew,38 Wiltshire Dr,591000,2,1
Clifton Hill,7/16 The Esplanade,591000,2,1
Brighton,2/42 Grosvenor St,590000,2,1
Brunswick,5/6 Pottery Ct,590000,2,1
Camberwell,2/1021 Toorak Rd,590000,2,1
Essendon,6/7 Schofield St,590000,2,1
Heidelberg Heights,96 Lloyd St,590000,2,1
Heidelberg West,116 Southern Rd,590000,2,1
Southbank,4/55 Kavanagh St,590000,2,1
Coburg,1/115 Harding St,590000,2,1
Armadale,5/6 St James Rd,590000,2,1
Braybrook,1 Walker Pl,590000,2,1
Balwyn,7/1 Bevan St,590000,2,1
Mentone,6/7 Rogers St,590000,2,1
Airport West,3/53 Moore Rd,590000,2,1
Greensborough,7/39 Alexandra St,590000,2,1
Watsonia,2/14 Daours Ct,590000,2,1
Carlton,30/188 Faraday St,589000,2,1
Kew,14/25 Derby St,588000,2,1
Hawthorn,3/566 Glenferrie Rd,587500,2,1
Hampton,6/334 Hampton St,587000,2,1
Ivanhoe,6/14 Athelstane Gr,587000,2,1
St Kilda,1/19 Robe St,586500,2,1
Carnegie,1/177 Oakleigh Rd,586000,2,1
Oak Park,4/29 Margaret St,585500,2,1
Pascoe Vale,3/136 Derby St,585500,2,1
Avondale Heights,2/6 Nelson Ct,585000,2,1
Carnegie,5/35 Moonya Rd,585000,2,1
Glen Iris,10 Bardolph St,585000,2,1
Carlton,13/25 Barkly St,585000,2,1
Windsor,14/27 Lewisham Rd,585000,2,1
Greensborough,1/111 Nepean St,585000,2,1
Caulfield South,4/3 Gardenvale Rd,585000,2,1
Thornbury,6 Aviary Gr,585000,2,1
Heidelberg Heights,18 Shelley St,584000,2,1
Malvern,1/58 Cawkwell St,584000,2,1
Reservoir,9/63 Pine St,583500,2,1
Glen Iris,8/23 Edgar St,583000,2,1
Elwood,2/23 Foam St,582500,2,1
Richmond,29/9 Tennyson St,582000,2,1
St Kilda,4/3 Eildon Ct,582000,2,1
Murrumbeena,6/51 Murrumbeena Rd,582000,2,1
Glenroy,2/19 Finchley Av,582000,2,1
Hawthorn,60/44 Burwood Rd,581000,2,1
Essendon,1/136 Hoffmans Rd,580500,2,1
Altona,1/136 Queen St,580000,2,1
Hawthorn,3/164 Barkers Rd,580000,2,1
Windsor,8/15 Wrexham Rd,580000,2,1
Brunswick East,2/175 Blyth St,580000,2,1
Burwood,3/51 Middleborough Rd,580000,2,1
Essendon,1/18 Balmoral St,580000,2,1
Heidelberg West,54 Alamein Rd,580000,2,1
Pascoe Vale,2/8 Stewart St,580000,2,1
Hawthorn,18/352 Auburn Rd,580000,2,1
Reservoir,4/41 Pickett St,580000,2,1
Vermont,6/513 Mitcham Rd,580000,2,1
Pascoe Vale,2/424 Gaffney St,580000,2,1
South Melbourne,303/28 Bank St,580000,2,1
Chelsea Heights,7 Perovic Pl,580000,2,1
Keilor East,84 Parkside Av,580000,2,1
Heidelberg,17/127 Hawdon St,579000,2,1
Elsternwick,8/66 Riddell Pde,577000,2,1
Jacana,17 Fidge Ct,575500,2,1
Richmond,3/30 Tanner St,575500,2,1
Brighton,8/42 Grosvenor St,575000,2,1
Brunswick,2/6 Sydney Rd,575000,2,1
Footscray,2/15 Geelong Rd,575000,2,1
Hawthorn,13/175 Power St,575000,2,1
Toorak,3/765 Malvern Rd,575000,2,1
Fawkner,6 Brockley Rd,575000,2,1
Port Melbourne,204/52 Nott St,575000,2,1
Richmond,5/202 Lennox St,575000,2,1
Upwey,338 Glenfern Rd,575000,2,1
